unit,factor,r,p,bucket,partial_r,partial_p
40,extremity,-0.2038392793081246,4.817531873378436e-48,moderate,-0.20434995553334173,2.790492657252304e-48
41,extremity,-0.4718047448056447,1.2576102609921951e-275,strong,-0.4737081483058846,3.822951483745429e-278
42,extremity,0.07785663205930637,3.5420047912913655e-08,weak,0.07810801563040612,3.199759020818264e-08
43,extremity,-0.45658168811811384,4.645049966256604e-256,strong,-0.45912170731617297,2.9563312217988e-259
44,extremity,-0.1342843046908033,1.4819209700270135e-21,moderate,-0.1347756955147396,1.0547158934439584e-21
45,extremity,0.04499467970038383,0.0014604959537675548,weak,0.0451601232012807,0.0014025096457096766
46,extremity,-0.4453392706844055,3.1083841324110846e-242,strong,-0.44778243044359367,3.404860697844334e-245
47,extremity,-0.45707393201971713,1.1212181645383779e-256,strong,-0.45957988719051335,7.785939916430966e-260
48,extremity,-0.03003963638517094,0.03366418352384252,weak,-0.03004929879409969,0.033607077467094404
49,extremity,0.09216039679674268,6.621330931227468e-11,weak,0.09246315738482497,5.733170621639061e-11
50,extremity,0.18817494728010603,4.45022443338595e-41,moderate,0.18839393262801352,3.5900098914703466e-41
51,extremity,0.16175960053624674,1.1591404008978404e-30,moderate,0.162086596818705,8.815516199710673e-31
52,extremity,-0.04482478431190831,0.0015223346275419554,weak,-0.04487588755590184,0.0015034850792473402
53,extremity,-0.42485643050537725,2.3920769503791523e-218,strong,-0.4273030438626503,4.0890483638210613e-221
54,extremity,0.22702187515514652,1.8476571585584694e-59,moderate,0.22715195794251009,1.5804046750346114e-59
55,extremity,0.21330601522716425,1.5219064865650623e-52,moderate,0.21340786939200018,1.3575716358186572e-52
56,extremity,-0.07261212847701015,2.7480460273224385e-07,weak,-0.07279918363753403,2.560363284203903e-07
57,extremity,-0.5236621059298798,0.0,strong,-0.5249886458207271,0.0
58,extremity,-0.32097355674362965,3.503849076100913e-120,strong,-0.3228634397149281,1.1715459599637902e-121
59,extremity,-0.5255482917158523,0.0,strong,-0.5266853465017894,0.0
60,extremity,-0.48035752476399535,4.5998240855943114e-287,strong,-0.4826160951589659,3.871265761270107e-290
61,extremity,-0.5123577424301162,0.0,strong,-0.5136969697245931,0.0
62,extremity,0.15621409530129088,1.1026514650751577e-28,moderate,0.1563939454659023,9.536737699702459e-29
63,extremity,-0.5150398431280259,0.0,strong,-0.5164218202451589,0.0
64,extremity,-0.3969904447672329,2.098135192700765e-188,strong,-0.39931986153681265,8.450043399180037e-191
65,extremity,-0.49610532717613604,5.42275033651449e-309,strong,-0.4976287123087122,3.559110527614e-311
66,extremity,-0.1873044405955671,1.0424910180801694e-40,moderate,-0.1882042790032184,4.324077662838136e-41
67,extremity,-0.4511071831432143,2.912811415591376e-249,strong,-0.4534738748109542,3.475422381345115e-252
68,extremity,0.18746162286653695,8.942401487271579e-41,moderate,0.18771265303825502,6.997415118585564e-41
69,extremity,0.22675832460833634,2.534907000782944e-59,moderate,0.22687885230951838,2.1936877173644643e-59
70,extremity,0.14446812633931716,9.946388146256523e-25,moderate,0.1446349810254584,8.784215595957224e-25
71,extremity,-0.024972449598007034,0.07745413781588904,weak,-0.024941694806110346,0.07781998793706994
72,extremity,-0.35459638705685326,4.611112111502694e-148,strong,-0.3570134995041616,3.338216743428001e-150
73,extremity,-0.5279861640947158,0.0,strong,-0.5290475170593683,0.0
74,extremity,-0.46863349414784683,1.811681611820272e-271,strong,-0.4709761135593743,1.5502143158995183e-274
75,extremity,-0.1800660372898057,1.0515182437384622e-37,moderate,-0.18086012470470292,4.993469296222547e-38
76,extremity,-0.14202229436845873,6.044417309394152e-24,moderate,-0.14265131918176233,3.811633175013945e-24
77,extremity,-0.5147392062241384,0.0,strong,-0.5166266704274048,0.0
78,extremity,-0.490070596034985,1.8772430464968927e-300,strong,-0.49127964361029325,3.770468778096812e-302
79,extremity,0.1917964949638297,1.2325226955750374e-42,moderate,0.1920602969006695,9.464575234236434e-43
80,extremity,-0.3086827241445342,7.67579714368659e-111,strong,-0.31060116846156843,2.859570606611809e-112
81,extremity,-0.2089407916963057,1.9277711491331572e-50,moderate,-0.20989550654703573,6.748523338245272e-51
82,extremity,-0.53709910539208,0.0,strong,-0.5375234919840466,0.0
83,extremity,0.14141927496251783,9.385771756435937e-24,moderate,0.1417417058529553,7.419677451854936e-24
84,extremity,-0.4855724003708686,3.372679910329516e-294,strong,-0.48723758611422174,1.6731858161091946e-296
85,extremity,-0.1810027252006668,4.366819224041617e-38,moderate,-0.18178206923271284,2.094254373588822e-38
86,extremity,-0.49405686726050885,4.4883818378283404e-306,strong,-0.49537469938143475,5.987211395829994e-308
87,extremity,-0.03218206528266997,0.02286779948014862,weak,-0.03219788455401152,0.022800843961263167
88,extremity,0.21921636821218798,1.819884649694359e-55,moderate,0.21939568467214066,1.4791747094517842e-55
89,extremity,-0.4872057501593083,1.8523428874034743e-296,strong,-0.48893183718836886,7.34093221699312e-299
90,extremity,-0.3719528793571542,7.494151869398523e-164,strong,-0.3741910684152664,5.842553088825079e-166
91,extremity,-0.48627038739254524,3.660942191469413e-295,strong,-0.48744010439955165,8.758098266986612e-297
92,extremity,0.05518288538028736,9.460858188381517e-05,weak,0.05548944781060703,8.646346390115081e-05
93,extremity,-0.38987138931653353,3.3322231924369617e-181,strong,-0.3922456772803268,1.3831787989506258e-183
94,extremity,0.16593206133316118,3.375828770133616e-32,moderate,0.16619761931148003,2.6869382725544704e-32
95,extremity,-0.3716549182218767,1.4259680309575498e-163,strong,-0.3741675373751217,6.149689371299102e-166
96,extremity,-0.40009078093460715,1.3489479393924498e-191,strong,-0.4027411454567338,2.3672224986879898e-194
97,extremity,0.1577057189765172,3.2911378796955806e-29,moderate,0.15799994550352212,2.589168494404402e-29
98,extremity,0.08676838828700757,7.970687095254261e-10,weak,0.08704525860614835,7.039648227262545e-10
99,extremity,0.15364848745161025,8.580960370524355e-28,moderate,0.15385394860783125,7.290135984775399e-28
100,extremity,-0.4310738723172636,2.0030884738111155e-225,strong,-0.4320496933970326,1.5045543090940415e-226
101,extremity,-0.017106641795488205,0.22650602538131803,weak,-0.01705799111397465,0.22782972339541144
